CODTOPOCIMO3|CODMORPHOCIMO3|CUI_UMLS
C809|99313|C0334674
C809|99483|C0029812
C809|98013|C0085669
C809|98003|C1279296
C809|98003|C0153924
C809|98003|C0029655
C809|98003|C0023418
C809|97543|C0023381
C809|97503|C0019623
C809|97401|C0036221
C809|97553|C0334663
C424|80003|C0348392
C424|80003|C0348393
C809|80003|C0362051
C809|80102|C0494177
C000|80102|C0154058
C159|80102|C0154059
C169|80102|C0154060
C809|80102|C0154067
C189|80102|C0154061
C199|80102|C0345875
C209|80102|C0154062
C210|80102|C0496853
C179|80102|C0154065
C809|80102|C0496854
C809|80102|C0348400
C809|80102|C0154057
C809|80102|C0494178
C329|80102|C0154069
C339|80102|C0154070
C349|80102|C0154071
C399|80102|C0348401
C399|80102|C0348402
C809|87202|C0346040
C440|87202|C0349028
C441|87202|C0349029
C442|87202|C0349030
C443|87202|C0348403
C444|87202|C0349031
C445|87202|C0349032
C446|87202|C0349033
C447|87202|C0349034
C449|87202|C0348404
C449|87202|C0346040
C809|80102|C0154073
C440|80102|C0154074
C441|80102|C0347138
C442|80102|C0347139
C443|80102|C0154077
C444|80102|C0154078
C445|80102|C0347161
C446|80102|C0154080
C447|80102|C0154081
C449|80102|C0348405
C449|80102|C0154073
C809|80102|C0154084
C509|80102|C0334381
C509|80102|C0007124
C509|80102|C0348409
C509|80102|C0154084
C809|80102|C0851140
C530|80102|C0349057
C531|80102|C0349058
C539|80102|C0348407
C539|80102|C0851140
C809|80102|C0494180
C541|80102|C0346191
C519|80102|C0278729
C529|80102|C0686277
C579|80102|C0154087
C609|80102|C0154089
C619|80102|C0154088
C639|80102|C0154090
C809|80102|C0154093
C679|80102|C0154091
C689|80102|C0154092
C699|80102|C0154094
C759|80102|C0496856
C809|80102|C0007100
C809|80102|C0007099
C700|80000|C0154033
C701|80000|C0154035
C709|80000|C0348426
C719|80000|C0349059
C719|80000|C0496898
C719|80000|C0496899
C725|80000|C0004992
C720|80000|C0154034
C729|80000|C0348419
C729|80000|C0347509
C809|80001|C0496904
C169|80001|C0496905
C179|80001|C0496906
C181|80001|C0348899
C189|80001|C0496907
C209|80001|C0496908
C809|80001|C0496909
C809|80001|C0154101
C809|80001|C0496911
C329|80001|C0496912
C399|80001|C0154103
C384|80001|C0496914
C383|80001|C0496915
C379|80001|C0496916
C399|80001|C0496917
C399|80001|C0496918
C559|80001|C0496919
C569|80001|C0496920
C589|80001|C0496921
C579|80001|C0496922
C579|80001|C0346521
C619|80001|C0496923
C629|80001|C0496924
C639|80001|C0496925
C639|80001|C0496926
C649|80001|C0496927
C659|80001|C0348902
C669|80001|C0496928
C680|80001|C0496929
C679|80102|C0496930
C689|80001|C0496931
C689|80001|C0496932
C700|80001|C0496933
C701|80001|C0496934
C709|80001|C0154120
C710|80001|C0349015
C710|80001|C0349016
C710|80001|C0496936
C725|80001|C0496937
C720|80001|C0496938
C729|80001|C0496939
C729|80001|C0496940
C739|80001|C0496941
C749|80001|C0154117
C750|80001|C0496943
C751|80001|C0496944
C752|80001|C0496945
C752|80001|C0496945
C752|80001|C0496945
C753|80001|C0496946
C754|80001|C0496947
C755|80001|C0496948
C758|80001|C0496949
C759|80001|C0496950
C809|99503|C0032463
C809|99803|C0348889
C809|99823|C0334679
C809|99833|C0002894
C809|98603|C0280028
C809|99803|C0348439
C809|99893|C0494210
C809|99893|C0026986
C809|97401|C0154127
C809|99603|C1292778
C809|97651|C1136085
C809|99623|C0040028
C424|80003|C0494213
C424|80003|C0494214
C419|80001|C0027630
C499|80001|C0154125
C479|80001|C0349025
C480|80001|C0496953
C480|80001|C0496953
C480|80001|C0496953
C482|80001|C0496954
C449|80001|C0496955
C509|80001|C0496956
C809|80001|C0496957
C809|80001|C0694450
C809|98311|C0477318
C809|97183|C0206182
C539|80001|C0869072
C529|80001|C0869073
C519|80001|C0869074
C809|80003|C0260437
C809|80003|C0478631
